method,emotion,precision,recall,f1,support,seed,group
trained_roberta,gratitude,0.8282674772036475,0.812220566318927,0.8201655379984951,671,42,best
trained_roberta,love,0.65,0.7599164926931107,0.7006737247353224,479,42,best
trained_roberta,amusement,0.6129032258064516,0.7375231053604436,0.6694630872483222,541,42,best
trained_roberta,admiration,0.6588114754098361,0.6267056530214425,0.6423576423576424,1026,42,best
trained_roberta,remorse,0.4639175257731959,0.6870229007633588,0.5538461538461539,131,42,best
trained_roberta,neutral,0.5077868852459017,0.5855387523629489,0.5438981562774363,2116,42,best
trained_roberta,curiosity,0.4334061135371179,0.7192028985507246,0.5408719346049047,552,42,best
trained_roberta,fear,0.4801980198019802,0.5480225988700564,0.5118733509234829,177,42,best
trained_roberta,grief,0.125,0.05,0.0714285714285714,40,42,weakest
trained_roberta,relief,0.1216216216216216,0.1168831168831168,0.119205298013245,77,42,weakest
trained_roberta,realization,0.2852459016393442,0.1883116883116883,0.226857887874837,462,42,weakest
trained_roberta,nervousness,0.425,0.1619047619047619,0.2344827586206896,105,42,weakest
trained_roberta,embarrassment,0.3658536585365853,0.2439024390243902,0.2926829268292683,123,42,weakest
trained_roberta,disappointment,0.2819383259911894,0.3091787439613526,0.2949308755760368,414,42,weakest
trained_roberta,pride,0.391304347826087,0.2368421052631578,0.2950819672131147,76,42,weakest
trained_roberta,annoyance,0.325065274151436,0.3716417910447761,0.3467966573816156,670,42,weakest
