method,emotion,precision,recall,f1,support,seed
dummy_majority,admiration,0.0,0.0,0.0,1026,42
dummy_majority,amusement,0.0,0.0,0.0,541,42
dummy_majority,anger,0.0,0.0,0.0,437,42
dummy_majority,annoyance,0.0,0.0,0.0,670,42
dummy_majority,approval,0.0,0.0,0.0,999,42
dummy_majority,caring,0.0,0.0,0.0,306,42
dummy_majority,confusion,0.0,0.0,0.0,416,42
dummy_majority,curiosity,0.0,0.0,0.0,552,42
dummy_majority,desire,0.0,0.0,0.0,184,42
dummy_majority,disappointment,0.0,0.0,0.0,414,42
dummy_majority,disapproval,0.0,0.0,0.0,632,42
dummy_majority,disgust,0.0,0.0,0.0,291,42
dummy_majority,embarrassment,0.0,0.0,0.0,123,42
dummy_majority,excitement,0.0,0.0,0.0,310,42
dummy_majority,fear,0.0,0.0,0.0,177,42
dummy_majority,gratitude,0.0,0.0,0.0,671,42
dummy_majority,grief,0.0,0.0,0.0,40,42
dummy_majority,joy,0.0,0.0,0.0,461,42
dummy_majority,love,0.0,0.0,0.0,479,42
dummy_majority,nervousness,0.0,0.0,0.0,105,42
dummy_majority,optimism,0.0,0.0,0.0,454,42
dummy_majority,pride,0.0,0.0,0.0,76,42
dummy_majority,realization,0.0,0.0,0.0,462,42
dummy_majority,relief,0.0,0.0,0.0,77,42
dummy_majority,remorse,0.0,0.0,0.0,131,42
dummy_majority,sadness,0.0,0.0,0.0,386,42
dummy_majority,surprise,0.0,0.0,0.0,333,42
dummy_majority,neutral,0.0,0.0,0.0,2116,42
lexicon,love,0.6152416356877324,0.6910229645093946,0.6509341199606686,479,42
lexicon,gratitude,0.8607954545454546,0.45156482861400893,0.592375366568915,671,42
lexicon,amusement,0.559322033898305,0.5489833641404805,0.5541044776119403,541,42
lexicon,remorse,0.4504950495049505,0.6946564885496184,0.5465465465465466,131,42
lexicon,joy,0.4656084656084656,0.38177874186550975,0.4195470798569726,461,42
lexicon,neutral,0.26336805555555554,0.7169187145557656,0.38522092432706956,2116,42
lexicon,sadness,0.5174129353233831,0.2694300518134715,0.3543441226575809,386,42
lexicon,surprise,0.44886363636363635,0.23723723723723725,0.3104125736738703,333,42
lexicon,fear,0.5522388059701493,0.20903954802259886,0.30327868852459017,177,42
lexicon,disgust,0.5048543689320388,0.17869415807560138,0.2639593908629442,291,42
lexicon,pride,0.3111111111111111,0.18421052631578946,0.23140495867768596,76,42
lexicon,nervousness,0.35294117647058826,0.17142857142857143,0.23076923076923078,105,42
lexicon,desire,0.12846347607052896,0.5543478260869565,0.2085889570552147,184,42
lexicon,approval,0.27167630057803466,0.14114114114114115,0.1857707509881423,999,42
lexicon,excitement,0.2765957446808511,0.12580645161290321,0.1729490022172949,310,42
lexicon,confusion,0.2177121771217712,0.14182692307692307,0.1717612809315866,416,42
lexicon,curiosity,0.2626728110599078,0.10326086956521739,0.1482444733420026,552,42
lexicon,optimism,0.2,0.09691629955947137,0.13056379821958458,454,42
lexicon,anger,0.13227513227513227,0.11441647597254005,0.12269938650306748,437,42
lexicon,embarrassment,0.36,0.07317073170731707,0.12162162162162163,123,42
lexicon,disapproval,0.18506493506493507,0.09018987341772151,0.12127659574468085,632,42
lexicon,caring,0.10071942446043165,0.13725490196078433,0.11618257261410789,306,42
lexicon,grief,0.11538461538461539,0.075,0.09090909090909091,40,42
lexicon,disappointment,0.3953488372093023,0.04106280193236715,0.07439824945295405,414,42
lexicon,realization,0.3333333333333333,0.030303030303030304,0.05555555555555555,462,42
lexicon,relief,0.057971014492753624,0.05194805194805195,0.0547945205479452,77,42
lexicon,admiration,0.41304347826086957,0.018518518518518517,0.03544776119402985,1026,42
lexicon,annoyance,0.38461538461538464,0.007462686567164179,0.014641288433382138,670,42
roberta_class_balanced_focal,gratitude,0.8896434634974533,0.7809239940387481,0.8317460317460318,671,42
roberta_class_balanced_focal,love,0.655367231638418,0.7265135699373695,0.689108910891089,479,42
roberta_class_balanced_focal,amusement,0.6023916292974589,0.744916820702403,0.6661157024793388,541,42
roberta_class_balanced_focal,admiration,0.6522210184182016,0.5867446393762183,0.6177526936890713,1026,42
roberta_class_balanced_focal,fear,0.4827586206896552,0.632768361581921,0.5476772616136919,177,42
roberta_class_balanced_focal,remorse,0.43457943925233644,0.7099236641221374,0.5391304347826087,131,42
roberta_class_balanced_focal,grief,0.7083333333333334,0.425,0.53125,40,42
roberta_class_balanced_focal,curiosity,0.4028985507246377,0.7554347826086957,0.5255198487712666,552,42
roberta_class_balanced_focal,surprise,0.4805194805194805,0.5555555555555556,0.5153203342618384,333,42
roberta_class_balanced_focal,sadness,0.5024752475247525,0.5259067357512953,0.5139240506329114,386,42
roberta_class_balanced_focal,neutral,0.37554904831625185,0.7273156899810964,0.4953331187640811,2116,42
roberta_class_balanced_focal,desire,0.4853801169590643,0.45108695652173914,0.4676056338028169,184,42
roberta_class_balanced_focal,joy,0.38108882521489973,0.5770065075921909,0.45901639344262296,461,42
roberta_class_balanced_focal,anger,0.4186991869918699,0.47139588100686497,0.4434876210979548,437,42
roberta_class_balanced_focal,caring,0.3818615751789976,0.5228758169934641,0.4413793103448276,306,42
roberta_class_balanced_focal,optimism,0.46949602122015915,0.3898678414096916,0.4259927797833935,454,42
roberta_class_balanced_focal,confusion,0.31683168316831684,0.6153846153846154,0.41830065359477125,416,42
roberta_class_balanced_focal,pride,0.5581395348837209,0.3157894736842105,0.40336134453781514,76,42
roberta_class_balanced_focal,disapproval,0.36563307493540054,0.4477848101265823,0.40256045519203415,632,42
roberta_class_balanced_focal,disgust,0.4268292682926829,0.36082474226804123,0.39106145251396646,291,42
roberta_class_balanced_focal,excitement,0.3171355498721228,0.4,0.3537803138373752,310,42
roberta_class_balanced_focal,relief,0.3125,0.38961038961038963,0.3468208092485549,77,42
roberta_class_balanced_focal,annoyance,0.23540372670807452,0.5656716417910448,0.33245614035087717,670,42
